Date,Ticker,Close
03/11/2023,PUWLEMUINDXD,265.47
03/12/2023,PUWLEMUINDXD,42.01
03/13/2023,PUWLEMUINDXD,239.5
03/14/2023,PUWLEMUINDXD,74.82
03/15/2023,PUWLEMUINDXD,65.92
03/16/2023,PUWLEMUINDXD,271.32
03/17/2023,PUWLEMUINDXD,78.3
03/18/2023,PUWLEMUINDXD,32.77
03/19/2023,PUWLEMUINDXD,97.28
03/20/2023,PUWLEMUINDXD,148.86
03/21/2023,PUWLEMUINDXD,76.14
03/22/2023,PUWLEMUINDXD,189.59
03/23/2023,PUWLEMUINDXD,341.16
03/24/2023,PUWLEMUINDXD,248.86
03/25/2023,PUWLEMUINDXD,168.52
03/26/2023,PUWLEMUINDXD,218.28
03/27/2023,PUWLEMUINDXD,133.66
03/28/2023,PUWLEMUINDXD,222.47
03/29/2023,PUWLEMUINDXD,139.25
03/30/2023,PUWLEMUINDXD,168.79
03/31/2023,PUWLEMUINDXD,98.47
04/01/2023,PUWLEMUINDXD,124.12
04/02/2023,PUWLEMUINDXD,248.19
04/03/2023,PUWLEMUINDXD,105.28
04/04/2023,PUWLEMUINDXD,145.63
04/05/2023,PUWLEMUINDXD,146.5
04/06/2023,PUWLEMUINDXD,24.48
04/07/2023,PUWLEMUINDXD,50.5
