,date,pcr
565,2009-02-03 00:00:00,0.77
566,2009-02-04 00:00:00,0.78
567,2009-02-05 00:00:00,0.73
568,2009-02-06 00:00:00,0.59
569,2009-02-09 00:00:00,0.63
570,2009-02-10 00:00:00,0.76
571,2009-02-11 00:00:00,0.81
572,2009-02-12 00:00:00,0.89
573,2009-02-13 00:00:00,0.74
574,2009-02-17 00:00:00,0.95
575,2009-02-18 00:00:00,0.89
576,2009-02-19 00:00:00,0.95
577,2009-02-20 00:00:00,0.83
578,2009-02-23 00:00:00,0.8
579,2009-02-24 00:00:00,0.64
580,2009-02-25 00:00:00,0.65
581,2009-02-26 00:00:00,0.66
582,2009-02-27 00:00:00,0.69
583,2009-03-02 00:00:00,0.86
584,2009-03-03 00:00:00,0.79
585,2009-03-04 00:00:00,0.84
586,2009-03-05 00:00:00,0.9
587,2009-03-06 00:00:00,0.83
588,2009-03-09 00:00:00,0.61
589,2009-03-10 00:00:00,0.57
590,2009-03-11 00:00:00,0.66
591,2009-03-12 00:00:00,0.61
592,2009-03-13 00:00:00,0.61
593,2009-03-16 00:00:00,0.69
594,2009-03-17 00:00:00,0.66
595,2009-03-18 00:00:00,0.54
596,2009-03-19 00:00:00,0.57
597,2009-03-20 00:00:00,0.73
598,2009-03-23 00:00:00,0.52
599,2009-03-24 00:00:00,0.62
600,2009-03-25 00:00:00,0.64
601,2009-03-26 00:00:00,0.67
602,2009-03-27 00:00:00,0.74
603,2009-03-30 00:00:00,0.77
604,2009-03-31 00:00:00,0.66
605,2009-04-01 00:00:00,0.71
606,2009-04-02 00:00:00,0.59
607,2009-04-03 00:00:00,0.67
608,2009-04-06 00:00:00,0.68
609,2009-04-07 00:00:00,0.8
610,2009-04-08 00:00:00,0.66
611,2009-04-09 00:00:00,0.56
612,2009-04-13 00:00:00,0.51
613,2009-04-14 00:00:00,0.57
614,2009-04-15 00:00:00,0.61
615,2009-04-16 00:00:00,0.6
616,2009-04-17 00:00:00,0.55
617,2009-04-20 00:00:00,0.79
618,2009-04-21 00:00:00,0.67
619,2009-04-22 00:00:00,0.64
620,2009-04-23 00:00:00,0.73
621,2009-04-24 00:00:00,0.67
622,2009-04-27 00:00:00,0.65
623,2009-04-28 00:00:00,0.73
624,2009-04-29 00:00:00,0.63
625,2009-04-30 00:00:00,0.64
626,2009-05-01 00:00:00,0.61
627,2009-05-04 00:00:00,0.54
628,2009-05-05 00:00:00,0.59
629,2009-05-06 00:00:00,0.59
630,2009-05-07 00:00:00,0.67
631,2009-05-08 00:00:00,0.62
632,2009-05-11 00:00:00,0.63
633,2009-05-12 00:00:00,0.67
634,2009-05-13 00:00:00,0.67
635,2009-05-14 00:00:00,0.62
636,2009-05-15 00:00:00,0.63
637,2009-05-18 00:00:00,0.55
638,2009-05-19 00:00:00,0.62
639,2009-05-20 00:00:00,0.63
640,2009-05-21 00:00:00,0.8
641,2009-05-22 00:00:00,0.63
642,2009-05-26 00:00:00,0.54
643,2009-05-27 00:00:00,0.71
644,2009-05-28 00:00:00,0.61
645,2009-05-29 00:00:00,0.63
646,2009-06-01 00:00:00,0.56
647,2009-06-02 00:00:00,0.63
648,2009-06-03 00:00:00,0.76
649,2009-06-04 00:00:00,0.63
650,2009-06-05 00:00:00,0.6
651,2009-06-08 00:00:00,0.75
652,2009-06-09 00:00:00,0.66
653,2009-06-10 00:00:00,0.72
654,2009-06-11 00:00:00,0.55
655,2009-06-12 00:00:00,0.65
656,2009-06-15 00:00:00,0.6
657,2009-06-16 00:00:00,0.8
658,2009-06-17 00:00:00,0.89
659,2009-06-18 00:00:00,0.77
660,2009-06-19 00:00:00,0.65
661,2009-06-22 00:00:00,0.72
662,2009-06-23 00:00:00,0.77
663,2009-06-24 00:00:00,0.62
664,2009-06-25 00:00:00,0.75
665,2009-06-26 00:00:00,0.71
666,2009-06-29 00:00:00,0.72
667,2009-06-30 00:00:00,0.83
668,2009-07-01 00:00:00,0.73
669,2009-07-02 00:00:00,0.72
670,2009-07-06 00:00:00,0.73
671,2009-07-07 00:00:00,0.86
672,2009-07-08 00:00:00,0.86
673,2009-07-09 00:00:00,0.79
674,2009-07-10 00:00:00,0.77
675,2009-07-13 00:00:00,0.69
676,2009-07-14 00:00:00,0.77
677,2009-07-15 00:00:00,0.61
678,2009-07-16 00:00:00,0.61
679,2009-07-17 00:00:00,0.57
680,2009-07-20 00:00:00,0.6
681,2009-07-21 00:00:00,0.61
682,2009-07-22 00:00:00,0.68
683,2009-07-23 00:00:00,0.66
684,2009-07-24 00:00:00,0.78
685,2009-07-27 00:00:00,0.54
686,2009-07-28 00:00:00,0.64
687,2009-07-29 00:00:00,0.62
688,2009-07-30 00:00:00,0.51
689,2009-07-31 00:00:00,0.65
690,2009-08-03 00:00:00,0.62
691,2009-08-04 00:00:00,0.58
692,2009-08-05 00:00:00,0.52
693,2009-08-06 00:00:00,0.66
694,2009-08-07 00:00:00,0.49
695,2009-08-10 00:00:00,0.56
696,2009-08-11 00:00:00,0.64
697,2009-08-12 00:00:00,0.6
698,2009-08-13 00:00:00,0.51
699,2009-08-14 00:00:00,0.59
700,2009-08-17 00:00:00,0.71
701,2009-08-18 00:00:00,0.63
702,2009-08-19 00:00:00,0.62
703,2009-08-20 00:00:00,0.5
704,2009-08-21 00:00:00,0.39
705,2009-08-24 00:00:00,0.52
706,2009-08-25 00:00:00,0.59
707,2009-08-26 00:00:00,0.64
708,2009-08-27 00:00:00,0.59
709,2009-08-28 00:00:00,0.58
710,2009-08-31 00:00:00,0.63
711,2009-09-01 00:00:00,0.69
712,2009-09-02 00:00:00,0.69
713,2009-09-03 00:00:00,0.6
714,2009-09-04 00:00:00,0.59
715,2009-09-08 00:00:00,0.59
716,2009-09-09 00:00:00,0.54
717,2009-09-10 00:00:00,0.61
718,2009-09-11 00:00:00,0.61
719,2009-09-14 00:00:00,0.55
720,2009-09-15 00:00:00,0.56
721,2009-09-16 00:00:00,0.46
722,2009-09-17 00:00:00,0.53
723,2009-09-18 00:00:00,0.56
724,2009-09-21 00:00:00,0.64
725,2009-09-22 00:00:00,0.55
726,2009-09-23 00:00:00,0.6
727,2009-09-24 00:00:00,0.71
728,2009-09-25 00:00:00,0.58
729,2009-09-28 00:00:00,0.6
730,2009-09-29 00:00:00,0.61
731,2009-09-30 00:00:00,0.73
732,2009-10-01 00:00:00,0.73
733,2009-10-02 00:00:00,0.85
